activity_code,exercise_name,mets,source,source_url
02315,ズンバ：ホームビデオ,5.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02340,椅子立ち上がり運動：6 - 12回/分,2.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
02344,椅子立ち上がり運動：18 - 24回/分,4.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03010,バレエ：モダン、ジャズ、全般、リハーサルや教室,5.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03011,バレエエクササイズ（プリエ、タンデュ、ジュッテ、ロン・ドゥ・ジャンブ、フォンデュ、グラン・バットマ ン、グラン・アダージュ、ソテ、タン・ルベ）,6.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03012,バレエ：モダン、ジャズ、パフォーマンス、きつい労力,6.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03014,タップダンス,4.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03025,民族舞踊や伝統舞踊(例：ギリシャダンス、中近東舞踊、フラダンス、サルサダンス、メレンゲダンス、ボンバ・ イ・プレナ舞踊、フラメンコ、ベリーダンス、スウィングダンス),4.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03028,中国の広場ダンス：バレエとチベット舞踊,5.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03029,中国の広場ダンス：エアロビックダンス,7.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03030,社交ダンス：速い,5.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03031,ナイトクラブやフォークダンス：きつい労力（例：ナイトクラブ、ディスコ、フォーク、ラインダンス、アイ リッシュ・ステップダンス、ポルカ、コントラ）,9.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03033,フォークダンス：ほどほどの労力,5.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03038,社交ダンス：競技、全般,11.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
03042,社交ダンス：レクリエーション（ワルツ、フォックストロット、チャチャ、スウィング）,6.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
